Title,Year_recorded,Year_released,Album,Record_label,Album_type,Track_number,Duration,Songwriter,Lead_vocal,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,British_charts,Date,UK_peak_pos,WoC,US_cash,US_rec_world,AUS,US,GER,NLD,FRA,SWI,CAN,POL,Certification
Harlem Shuffle,1985,1986,Dirty Work,Virgin,Studio,3,205,Bob Relf/Ernest Nelson,Jagger,0.107,0.75,0.951,0.0627,0.224,-3.46,0.0796,121.734,0.719,Yes,15.03. 1986,13th,8th,No,No,6th,5th,11th,5th,28th,10th,2nd,24th,No
Hate To See You Go,2015,2016,Blue & Lonesome,Interscope / Polydor,Studio,8,200,Little Walter,Jagger,0.399,0.418,0.828,0.669,0.146,-5.173,0.122,184.436,0.376,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"Have You Seen Your Mother, Baby, Standing In The Shadow?",1966,1966,Flowers,ABKCO Records,Compilation,2,155,Jagger/Richards,Jagger,0.283,0.373,0.834,0.769,0.235,-5.49,0.0366,100.54,0.486,No,No,No,No,4th,3rd,No,9th,9th,3rd,22th,No,8th,No,No
Heart Of Stone,1964,1964,"The Rolling Stones, Now!",ABKCO Records,Studio,4,169,Jagger/Richards,Jagger,0.188,0.381,0.585,0.0499,0.0739,-11.286,0.0394,187.442,0.586,No,No,No,No,16th,15th,No,19th,No,6th,24th,15th,No,No,No
Hearts For Sale,1989,1989,Steel Wheels,Virgin,Studio,5,280,Jagger/Richards,Jagger,0.129,0.587,0.956,0.00193,0.337,-4.613,0.0514,123.577,0.606,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Heaven,1981,1981,Tattoo You,Virgin,Studio,9,262,Jagger/Richards,Jagger,0.222,0.617,0.459,0.0415,0.285,-9.292,0.0368,114.497,0.119,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Hey Negrita,1975,1975,Black and Blue,Virgin,Studio,5,299,Jagger/Richards,Jagger,0.319,0.695,0.753,0.000685,0.0624,-5.164,0.0388,85.184,0.798,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Hide Your Love,1973,1973,Goats Head Soup,Interscope / Polydor,Studio,7,251,Jagger/Richards,Jagger,0.173,0.441,0.823,0.75,0.244,-5.4,0.053,108.276,0.689,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
High And Dry,1966,1966,Aftermath,ABKCO Records,Studio,8,186,Jagger/Richards,Jagger,0.0534,0.56,0.5,0.00872,0.242,-13.544,0.0443,114.032,0.772,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Highwire,1991,1991,Flashpoint,Virgin,Live,16,286,Jagger/Richards,Jagger,0.02105,0.4545,0.9185,0.006295,0.0523,-4.671,0.04405,126.792,0.812,Yes,30.03. 1991,29th,4th,No,No,54th,57th,27th,6th,28th,14th,10th,27th,No
Hitch Hike,1965,1965,Out of Our Heads,ABKCO Records,Studio,2,146,"Marvin Gaye/William ""Mickey"" Stevenson/Clarence Paul",Jagger,0.34,0.747,0.835,0.733,0.0281,-7.04,0.0324,123.456,0.963,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Hold Back,1985,1986,Dirty Work,Virgin,Studio,4,232,Jagger/Richards,Jagger,0.00569,0.51,0.996,0.0025,0.343,-2.864,0.125,144.515,0.417,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Hold On To Your Hat,1989,1989,Steel Wheels,Virgin,Studio,4,212,Jagger/Richards,Jagger,0.312,0.24,0.984,0.349,0.498,-3.495,0.115,189.6,0.413,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Honky Tonk Women,1969,1969,Get Yer Ya-Ya's Out!,ABKCO Records,Live,9,214,Jagger/Richards,Jagger,0.00948,0.343,0.974,0.00178,0.748,-3.69,0.0638,122.223,0.81,Yes,15.07. 1969,1st,17th,1st,1st,No,1st,2nd,4th,13th,1st,2nd,No,RIAA: Gold
Hoo Doo Blues,2015,2016,Blue & Lonesome,Interscope / Polydor,Studio,9,156,Otis Hicks/Jerry West,Jagger,0.358,0.461,0.74,0.138,0.301,-4.961,0.0387,70.003,0.597,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Hot Stuff,1975,1976,Black and Blue,Virgin,Studio,1,321,Jagger/Richards,Jagger,0.278,0.788,0.768,0.000161,0.0654,-7.25,0.0601,100.118,0.852,No,No,No,No,60th,No,No,49th,No,No,No,No,No,No,No
How Can I Stop,1997,1997,Bridges to Babylon,Virgin,Studio,13,413,Jagger/Richards,Richards,0.705,0.546,0.314,0.00689,0.199,-10.795,0.0262,139.413,0.167,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
I Am Waiting,1965,1966,Aftermath,ABKCO Records,Studio,10,190,Jagger/Richards,Jagger,0.564,0.63,0.384,5.49e-05,0.0993,-14.651,0.0394,88.586,0.614,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
I Can't Be Satisfied,1964,1965,The Rolling Stones No.2,Decca,Studio,9,206,Muddy Waters,Jagger,0.137,0.485,0.525,0.0146,0.314,-10.585,0.0616,198.549,0.583,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
I Can't Quit You Baby,2015,2016,Blue & Lonesome,Interscope / Polydor,Studio,12,313,Willie Dixon,Jagger,0.226,0.328,0.711,0.0172,0.0669,-5.037,0.0455,182.5,0.17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
I Go Wild,1993,1994,Voodoo Lounge,Virgin,Studio,8,264,Jagger/Richards,Jagger,0.0324,0.482,0.975,0.0199,0.31,-3.096,0.0977,108.974,0.47,Yes,15.07. 1995,29th,3rd,No,No,No,No,61th,48th,No,No,44th,No,No
I Got The Blues,1970,1971,Sticky Fingers,Virgin,Studio,7,235,Jagger/Richards,Jagger,0.467,0.442,0.382,0.0216,0.121,-5.295,0.0317,119.947,0.199,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
I Gotta Go,2015,2016,Blue & Lonesome,Interscope / Polydor,Studio,5,206,Little Walter,Jagger,0.469,0.579,0.872,0.00286,0.087,-3.102,0.0795,120.033,0.505,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
I Just Want To See His Face,1971,1972,Exile on Main St.,Virgin,Studio,13,173,Jagger/Richards,Jagger,0.689,0.654,0.542,0.584,0.204,-14.696,0.0419,78.015,0.877,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
I'm Alright ,1965,1965,Got Live If You Want It!,ABKCO Records / Universal,Live,10,146,Bo Diddley,"Jagger, Richards",5.81e-05,0.426,0.824,0.716,0.946,-9.782,0.0502,118.944,0.612,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
I'm Free,1965,1965,December's Children (And Everybody's),ABKCO Records,Studio,8,144,Jagger/Richards,Jagger,0.197,0.64,0.443,0.0397,0.435,-10.652,0.031,118.71,0.582,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
I'm Moving On ,1965,1965,December's Children (And Everybody's),ABKCO Records,Studio,12,133,Hank Snow,Jagger,0.187,0.522415777,0.769,0.00691,0.2045,-6.493,0.0429,118.944,0.668,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
I've Been Loving You Too Long,1965,1966,Got Live If You Want It!,ABKCO Records / Universal,Live,5,175,Otis Redding/Jerry Butler,Jagger,0.418333333,0.289,0.561666667,0.113667143,0.437,-9.457666667,0.046633333,139.8973333,0.0427,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
